,Constraint,Time,Value
0,Bal1Constraint,1,30.888324918944253
1,Bal1Constraint,2,29.978043983495972
2,Bal1Constraint,3,29.572806562963606
3,Bal1Constraint,4,29.26250089119608
4,Bal1Constraint,5,29.26250089119608
5,Bal1Constraint,6,29.572806562963606
6,Bal1Constraint,7,30.399043138263913
7,Bal1Constraint,8,30.88832491894425
8,Bal1Constraint,9,30.888324918944257
9,Bal1Constraint,10,30.88832491894425
10,Bal1Constraint,11,30.88832491894425
11,Bal1Constraint,12,30.88832491894425
12,Bal1Constraint,13,30.88832491894425
13,Bal1Constraint,14,30.88832491894425
14,Bal1Constraint,15,30.888324918944257
15,Bal1Constraint,16,30.888324918944257
16,Bal1Constraint,17,30.888324918944257
17,Bal1Constraint,18,30.888324918944257
18,Bal1Constraint,19,30.88832491894425
19,Bal1Constraint,20,30.888324918944253
20,Bal1Constraint,21,30.888324918944253
21,Bal1Constraint,22,30.888324918944257
22,Bal1Constraint,23,30.888324918944253
23,Bal1Constraint,24,30.888324918944253
24,Bal2Constraint,1,30.888324918944253
25,Bal2Constraint,2,29.978043983495972
26,Bal2Constraint,3,29.572806562963606
27,Bal2Constraint,4,29.26250089119608
28,Bal2Constraint,5,29.26250089119608
29,Bal2Constraint,6,29.572806562963606
30,Bal2Constraint,7,30.399043138263913
31,Bal2Constraint,8,30.88832491894425
32,Bal2Constraint,9,30.888324918944257
33,Bal2Constraint,10,30.88832491894425
34,Bal2Constraint,11,30.88832491894425
35,Bal2Constraint,12,30.88832491894425
36,Bal2Constraint,13,30.88832491894425
37,Bal2Constraint,14,30.88832491894425
38,Bal2Constraint,15,30.888324918944257
39,Bal2Constraint,16,30.888324918944257
40,Bal2Constraint,17,30.88832491894425
41,Bal2Constraint,18,30.88832491894425
42,Bal2Constraint,19,30.88832491894425
43,Bal2Constraint,20,30.888324918944253
44,Bal2Constraint,21,30.888324918944253
45,Bal2Constraint,22,30.888324918944257
46,Bal2Constraint,23,30.88832491894425
47,Bal2Constraint,24,30.888324918944253
48,Bal3Constraint,1,30.888324918944253
49,Bal3Constraint,2,29.978043983495972
50,Bal3Constraint,3,29.572806562963606
51,Bal3Constraint,4,29.26250089119608
52,Bal3Constraint,5,29.26250089119608
53,Bal3Constraint,6,29.572806562963606
54,Bal3Constraint,7,30.399043138263913
55,Bal3Constraint,8,30.88832491894425
56,Bal3Constraint,9,30.888324918944257
57,Bal3Constraint,10,30.88832491894425
58,Bal3Constraint,11,30.88832491894425
59,Bal3Constraint,12,30.88832491894425
60,Bal3Constraint,13,30.88832491894425
61,Bal3Constraint,14,30.88832491894425
62,Bal3Constraint,15,30.888324918944257
63,Bal3Constraint,16,30.888324918944257
64,Bal3Constraint,17,30.888324918944257
65,Bal3Constraint,18,30.888324918944257
66,Bal3Constraint,19,30.88832491894425
67,Bal3Constraint,20,30.888324918944253
68,Bal3Constraint,21,30.888324918944253
69,Bal3Constraint,22,30.888324918944257
70,Bal3Constraint,23,30.88832491894425
71,Bal3Constraint,24,30.888324918944253
72,Bal4Constraint,1,30.888324918944253
73,Bal4Constraint,2,29.978043983495972
74,Bal4Constraint,3,29.572806562963606
75,Bal4Constraint,4,29.26250089119608
76,Bal4Constraint,5,29.26250089119608
77,Bal4Constraint,6,29.572806562963606
78,Bal4Constraint,7,30.399043138263913
79,Bal4Constraint,8,30.88832491894425
80,Bal4Constraint,9,30.888324918944257
81,Bal4Constraint,10,30.88832491894425
82,Bal4Constraint,11,30.88832491894425
83,Bal4Constraint,12,30.88832491894425
84,Bal4Constraint,13,30.88832491894425
85,Bal4Constraint,14,30.88832491894425
86,Bal4Constraint,15,30.888324918944257
87,Bal4Constraint,16,30.888324918944257
88,Bal4Constraint,17,30.888324918944257
89,Bal4Constraint,18,30.888324918944257
90,Bal4Constraint,19,30.88832491894425
91,Bal4Constraint,20,30.888324918944253
92,Bal4Constraint,21,30.888324918944253
93,Bal4Constraint,22,30.888324918944257
94,Bal4Constraint,23,30.88832491894425
95,Bal4Constraint,24,30.888324918944253
96,Bal5Constraint,1,30.888324918944253
97,Bal5Constraint,2,29.978043983495972
98,Bal5Constraint,3,29.572806562963606
99,Bal5Constraint,4,29.26250089119608
100,Bal5Constraint,5,29.26250089119608
101,Bal5Constraint,6,29.572806562963606
102,Bal5Constraint,7,30.399043138263913
103,Bal5Constraint,8,30.88832491894425
104,Bal5Constraint,9,30.888324918944257
105,Bal5Constraint,10,30.88832491894425
106,Bal5Constraint,11,30.88832491894425
107,Bal5Constraint,12,30.88832491894425
108,Bal5Constraint,13,30.88832491894425
109,Bal5Constraint,14,30.88832491894425
110,Bal5Constraint,15,30.888324918944257
111,Bal5Constraint,16,30.888324918944257
112,Bal5Constraint,17,30.888324918944257
113,Bal5Constraint,18,30.888324918944257
114,Bal5Constraint,19,30.88832491894425
115,Bal5Constraint,20,30.888324918944253
116,Bal5Constraint,21,30.888324918944253
117,Bal5Constraint,22,30.888324918944257
118,Bal5Constraint,23,30.88832491894425
119,Bal5Constraint,24,30.888324918944253
120,Bal6Constraint,1,30.888324918944253
121,Bal6Constraint,2,29.978043983495972
122,Bal6Constraint,3,29.572806562963606
123,Bal6Constraint,4,29.26250089119608
124,Bal6Constraint,5,29.26250089119608
125,Bal6Constraint,6,29.572806562963606
126,Bal6Constraint,7,30.399043138263913
127,Bal6Constraint,8,30.88832491894425
128,Bal6Constraint,9,30.888324918944257
129,Bal6Constraint,10,30.88832491894425
130,Bal6Constraint,11,30.88832491894425
131,Bal6Constraint,12,30.88832491894425
132,Bal6Constraint,13,30.88832491894425
133,Bal6Constraint,14,30.88832491894425
134,Bal6Constraint,15,30.888324918944257
135,Bal6Constraint,16,30.888324918944257
136,Bal6Constraint,17,30.888324918944257
137,Bal6Constraint,18,30.888324918944257
138,Bal6Constraint,19,30.88832491894425
139,Bal6Constraint,20,30.888324918944253
140,Bal6Constraint,21,30.888324918944253
141,Bal6Constraint,22,30.888324918944257
142,Bal6Constraint,23,30.88832491894425
143,Bal6Constraint,24,30.888324918944253
144,Bal7Constraint,1,30.888324918944253
145,Bal7Constraint,2,29.978043983495972
146,Bal7Constraint,3,29.572806562963606
147,Bal7Constraint,4,29.26250089119608
148,Bal7Constraint,5,29.26250089119608
149,Bal7Constraint,6,29.572806562963606
150,Bal7Constraint,7,30.399043138263913
151,Bal7Constraint,8,30.88832491894425
152,Bal7Constraint,9,30.888324918944257
153,Bal7Constraint,10,30.88832491894425
154,Bal7Constraint,11,30.88832491894425
155,Bal7Constraint,12,30.88832491894425
156,Bal7Constraint,13,30.88832491894425
157,Bal7Constraint,14,30.88832491894425
158,Bal7Constraint,15,30.888324918944257
159,Bal7Constraint,16,30.888324918944257
160,Bal7Constraint,17,30.888324918944257
161,Bal7Constraint,18,30.888324918944257
162,Bal7Constraint,19,30.88832491894425
163,Bal7Constraint,20,30.888324918944253
164,Bal7Constraint,21,30.888324918944253
165,Bal7Constraint,22,30.888324918944257
166,Bal7Constraint,23,30.88832491894425
167,Bal7Constraint,24,30.888324918944253
168,Bal8Constraint,1,30.888324918944253
169,Bal8Constraint,2,29.978043983495972
170,Bal8Constraint,3,29.572806562963606
171,Bal8Constraint,4,29.26250089119608
172,Bal8Constraint,5,29.26250089119608
173,Bal8Constraint,6,29.572806562963606
174,Bal8Constraint,7,30.399043138263913
175,Bal8Constraint,8,30.88832491894425
176,Bal8Constraint,9,30.888324918944257
177,Bal8Constraint,10,30.88832491894425
178,Bal8Constraint,11,30.88832491894425
179,Bal8Constraint,12,30.88832491894425
180,Bal8Constraint,13,30.88832491894425
181,Bal8Constraint,14,30.88832491894425
182,Bal8Constraint,15,30.888324918944257
183,Bal8Constraint,16,30.888324918944257
184,Bal8Constraint,17,30.888324918944257
185,Bal8Constraint,18,30.888324918944257
186,Bal8Constraint,19,30.88832491894425
187,Bal8Constraint,20,30.888324918944253
188,Bal8Constraint,21,30.888324918944253
189,Bal8Constraint,22,30.888324918944257
190,Bal8Constraint,23,30.88832491894425
191,Bal8Constraint,24,30.888324918944253
